date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:27	15392/15392	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/client4.png	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/client4.png	(from http://www.bdinfosys.com/demo/materialx/)
22:41:27	21534/21534	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/client3.png	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/client3.png	(from http://www.bdinfosys.com/demo/materialx/)
22:41:34	126335/126335	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202015%2016:19:51%20GMT	http://www.bdinfosys.com/demo/materialx/images/t5.png	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/t5.png	(from http://www.bdinfosys.com/demo/materialx/)
22:41:34	45912/45912	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:53%20GMT	http://www.bdinfosys.com/demo/materialx/images/blog1.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/blog1.jpg	(from http://www.bdinfosys.com/demo/materialx/)
22:41:34	127473/127473	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202015%2016:19:53%20GMT	http://www.bdinfosys.com/demo/materialx/images/t6.png	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/t6.png	(from http://www.bdinfosys.com/demo/materialx/)
22:41:36	58755/58755	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Apr%202015%2016:19:52%20GMT	http://www.bdinfosys.com/demo/materialx/images/blog2.jpg	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/images/blog2.jpg	(from http://www.bdinfosys.com/demo/materialx/)
22:41:36	8097/8097	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:50%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/jquery.easing.1.3.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:37	2211/2211	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:50%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/detectmobilebrowser.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/detectmobilebrowser.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:38	7057/7057	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:50%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/wow.min.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/wow.min.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:39	4037/4037	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:50%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/waypoints.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/waypoints.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:40	1067/1067	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:51%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/jquery.counterup.min.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/jquery.counterup.min.js	(from http://www.bdinfosys.com/demo/materialx/)
22:41:42	37744/37744	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Apr%202015%2016:19:51%20GMT	http://www.bdinfosys.com/demo/materialx/assets/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/TechPlaces/www.bdinfosys.com/demo/materialx/assets/js/isotope.pkgd.min.js	(from http://www.bdinfosys.com/demo/materialx/)
